public_gene_name,p-value
osm-1,1.02e-6
che-3,1.61e-5
F01D4.9,5.56e-5
mdf-1,1e-4
cnt-1,1.23946e-4
lars-1,0.00152637
F43D9.1,0.001688544
hlb-1,0.001795662
jac-1,0.002545991
col-135,0.002866661
pkc-1,0.00321839
M106.4,0.003525872
din-1,0.003862516
C28H8.3,0.003934641
F54G2.1,0.004027609
cls-2,0.004251798
dlg-1,0.004252594
C26H9A.2,0.004585606
Y38F2AR.12,0.004635822
dcr-1,0.007008639
hcp-6,0.007226648
H06I04.5,0.007811092
C14B4.2,0.008082947
H11E01.3,0.008477087
pes-7,0.009097948
pld-1,0.009283952
Y57A10A.1,0.010538888
D2085.5,0.010574298
C05D12.2,0.010579079
T19D12.1,0.010704407
Y71G12B.11,0.011091476
Y17G7B.19,0.011446552
fbxa-136,0.012125031
glr-4,0.012234905
unc-80,0.013144988
D1044.6,0.013169215
C44B9.1,0.01318504
lem-3,0.013203005
T26A8.4,0.01355716
sma-1,0.013738784
F52C9.1,0.015868354
unc-70,0.016224616
mel-46,0.016495545
glo-4,0.016627888
T12G3.1,0.01680852
K02F6.4,0.017041685
ZK1010.5,0.0171902
vps-34,0.017863246
rnp-6,0.018468564
asp-1,0.01882154
itx-1,0.019013566
R06F6.8,0.019097578
rbc-1,0.020617212
F58G1.1,0.021183285
C52E4.5,0.02143203
cca-1,0.023950013
dnc-1,0.024409937
lam-3,0.025158275
nlg-1,0.026052146
scp-1,0.026217793
kin-4,0.026909961
ssl-1,0.027594412
atg-2,0.027949214
plc-1,0.028039427
K07E3.4,0.030430691
Y110A7A.9,0.030592537
F58B3.4,0.030732543
lrk-1,0.030745721
Y71A12B.12,0.031400885
unc-2,0.03188284
grl-25,0.032228583
Y48E1A.1,0.032536291
F29C12.4,0.03335896
ZK1025.3,0.034187168
T16G12.1,0.034968209
Y48G1C.5,0.035370294
Y46E12BL.2,0.035704715
rha-2,0.036612215
mca-3,0.036870071
lin-15B,0.037251393
zer-1,0.037359523
D1044.2,0.038514876
Y54F10BM.9,0.039011101
dpy-26,0.039857859
F28B1.2,0.040730539
afd-1,0.040921469
unc-77,0.043222342
itr-1,0.043915005
jip-1,0.044050448
oac-44,0.044210805
twk-44,0.044337396
ZC84.6,0.044878736
C16B8.2,0.045129341
Y64G10A.6,0.045205332
Y59A8A.2,0.045300448
K02F6.3,0.045489584
pqn-85,0.04590239
vps-53,0.047140121
gei-8,0.047812606
C14C11.4,0.048836233
pyc-1,0.050765502
oac-53,0.051485537
unc-82,0.053520697
F40G12.3,0.054247546
F55F10.1,0.055100883
C33G3.4,0.060187264
T20F7.5,0.060478571
trp-4,0.061803156
bli-3,0.062839934
sor-1,0.062889782
Y48G1C.8,0.06299735
Y51A2D.7,0.06355982
T19D12.4,0.06459006
F14D12.1,0.065255326
spat-3,0.065859481
bmk-1,0.065914741
Y75B8A.3,0.066172569
F19H6.3,0.066545212
F01G4.3,0.068468265
aman-2,0.069719593
eps-8,0.070526082
tag-208,0.070854326
zoo-1,0.07093719
W05B2.4,0.071757878
C28G1.4,0.07290898
kcnl-1,0.074171157
glh-2,0.074214658
T26A5.5,0.074256745
vars-2,0.074845612
lad-2,0.075370305
F42C5.10,0.077722694
C48E7.6,0.080812957
npp-12,0.081580619
Y69H2.3,0.081668639
gon-1,0.082772054
unc-89,0.082965108
cdh-7,0.08377872
tir-1,0.084190172
tlk-1,0.084678621
tag-184,0.086191128
Y73E7A.2,0.088312965
Y38A10A.2,0.088565809
jmjd-2,0.088968549
Y67A10A.3,0.089244209
ptr-5,0.089441907
F53H1.1,0.093718488
Y51A2D.15,0.094311877
ears-1,0.095479256
rskn-2,0.095550959
rod-1,0.096472074
let-363,0.096763211
ppw-2,0.09742912
str-208,0.1040223
Y54E2A.4,0.104444472
set-2,0.104976343
R10E8.6,0.109178248
ced-11,0.109582841
hda-6,0.109849414
F49B2.6,0.110878061
anc-1,0.111095337
C26B9.5,0.111402828
nhr-1,0.111402828
C42C1.8,0.112633431
pqn-87,0.113391546
cyp-35D1,0.113506124
gcy-25,0.113668931
F26F12.3,0.116213637
ceh-44,0.116363792
ect-2,0.117133048
acs-10,0.117891022
E02H9.5,0.118735957
mog-4,0.118937981
ZC84.1,0.119172074
unc-44,0.119579749
D1007.15,0.119772567
tra-1,0.122643609
pgp-9,0.124577133
dpf-4,0.12528679
rbr-2,0.1256623
ZK930.1,0.125684478
Y34B4A.10,0.126225148
dep-1,0.12638574
ile-2,0.126732722
ptr-19,0.127827361
xpc-1,0.127891972
C34G6.1,0.128244373
avr-14,0.128376819
rgl-1,0.128376819
asic-1,0.128376819
F48E3.8,0.128646712
sax-3,0.128675428
dpy-6,0.131564479
F17C11.10,0.131809056
dgk-4,0.131809056
sago-1,0.131809056
dcap-2,0.131809056
vab-19,0.131809056
lip-1,0.134332012
mltn-3,0.134672434
uig-1,0.136502399
F09G2.1,0.136793705
rrf-3,0.137039289
catp-3,0.140291739
W03F11.4,0.141024809
hecd-1,0.141324677
scd-2,0.142322482
cutl-27,0.143864551
F19B2.6,0.144781214
rict-1,0.148731087
pqn-75,0.151053695
cogc-5,0.151878258
F31C3.2,0.155722396
F55H12.3,0.155920111
Y48G8AL.5,0.162246064
dpy-1,0.164758192
zfp-1,0.166239682
set-5,0.166459525
Y20F4.4,0.167400071
H02F09.3,0.167642464
vet-6,0.170326556
01-Sep,0.170326556
nas-39,0.170575374
F54F12.1,0.171319623
K08A2.4,0.171778368
K10D2.8,0.175031153
rhgf-1,0.177074163
cbd-1,0.177373205
wdr-23,0.177373205
C36B7.5,0.179455643
ser-1,0.18082777
gap-2,0.181325197
btf-1,0.181562297
Y113G7A.13,0.185379231
F08C6.2,0.185394562
let-526,0.185988492
slo-2,0.186295417
T16G1.9,0.188337322
mig-6,0.190857758
C09F9.2,0.191255567
lam-1,0.191302248
W05F2.7,0.191588044
cdh-8,0.193106251
H24G06.1,0.195381392
dct-17,0.195779051
Y111B2A.4,0.196251888
C08G5.1,0.198613225
tag-241,0.19866769
gcy-22,0.200278861
C53B4.4,0.201924707
W04A4.5,0.20231947
Y39B6A.18,0.203851747
C10C6.6,0.210840366
pgp-5,0.211504795
vav-1,0.21214827
C35C5.6,0.213546364
tat-1,0.214670153
sec-24.2,0.216714268
F47H4.2,0.21878304
B0511.12,0.21942216
mltn-13,0.220789572
Y105E8A.19,0.221380771
Y67A10A.9,0.221380771
prp-8,0.22166098
dyc-1,0.221888016
lgx-1,0.222814942
C32D5.11,0.224690807
oga-1,0.225078255
C17B7.5,0.225884619
acs-17,0.228798522
unc-104,0.22929357
mon-2,0.230560189
agr-1,0.231467499
F35A5.1,0.231843123
crn-3,0.234173191
B0416.1,0.236028045
B0334.3,0.236479146
R11A8.7,0.237019973
cam-1,0.237148224
gei-7,0.237324947
scpl-1,0.237753517
apd-3,0.240542063
Y39B6A.23,0.244046179
unc-22,0.244084892
tag-168,0.25173002
vit-2,0.255225568
R06A4.2,0.255665855
pat-12,0.255854507
inft-2,0.256841045
Y53F4B.13,0.256879288
C27H5.2,0.257218927
Y70C5C.1,0.258128011
emb-9,0.258357107
ptr-21,0.260221591
H17B01.4,0.260677471
iars-1,0.260937606
lin-13,0.261030292
Y113G7C.1,0.261281826
ugt-32,0.263003568
dis-3,0.263314915
Y32H12A.8,0.265464147
C39D10.7,0.266793397
kin-1,0.27004733400000003
ego-2,0.270610788
B0336.3,0.272376463
F48E3.3,0.272717272
Y47A7.1,0.273849154
mys-1,0.273891018
fig-1,0.274115507
ced-5,0.2748159
him-1,0.277552785
T21D12.11,0.277674743
R08F11.1,0.278476217
gcn-1,0.278632818
lact-7,0.279110834
mrp-5,0.279774425
F23A7.5,0.279961577
C34F6.10,0.280367727
sea-2,0.280375692
C47D12.2,0.280609794
pqn-62,0.282486769
taf-1,0.283256394
pqn-22,0.285386278
K06A9.1,0.285480959
myo-3,0.286749215
crb-1,0.288994051
cpsf-1,0.289213777
C35E7.5,0.289991943
F55A3.3,0.290726147
sin-3,0.29150991
T23F1.5,0.293900146
T01C4.1,0.294353209
catp-2,0.294362631
M02G9.1,0.300658458
mlt-11,0.303101544
ced-1,0.308416204
gcy-20,0.312208427
tps-2,0.313064846
frl-1,0.313242075
F20D12.2,0.314424034
frm-9,0.314450815
Y22D7AR.12,0.314767784
let-19,0.317439549
Y48E1C.1,0.318222032
nsy-1,0.3189256
daf-5,0.319380438
chc-1,0.319726123
mrp-6,0.321115195
bpl-1,0.322722968
capg-2,0.324141631
pgp-8,0.325215677
T04G9.1,0.32610508
Y95B8A.8,0.326519129
R02D3.4,0.327984253
F10G7.9,0.331316725
dpyd-1,0.331522142
lrp-2,0.331778565
ril-2,0.33384484
plx-1,0.334371504
msh-6,0.3366984
hum-7,0.337031868
C14H10.2,0.337378167
pqn-65,0.339146997
nab-1,0.33958834
Y69H2.11,0.339746615
C18H2.5,0.339948228
clp-4,0.340157241
mrck-1,0.34059326
C12D8.1,0.341938159
dyn-1,0.343171994
slt-1,0.343993334
xol-1,0.344441495
gcy-23,0.345359765
ubq-1,0.346459561
pgp-4,0.34660188199999997
cyp-34A1,0.346742734
abt-5,0.346836284
cyk-1,0.347712129
T28C6.7,0.348659044
Y54G11A.4,0.349183902
pqn-55,0.351502783
oxi-1,0.352418808
T27A3.2,0.353004463
C05C10.2,0.357117199
ZK154.5,0.357555193
nid-1,0.358544528
myo-2,0.358598496
ekl-6,0.359492768
pme-5,0.359711671
toe-4,0.361982638
egl-19,0.363221744
F56C9.10,0.363718444
clh-1,0.363855006
syg-2,0.364279677
adt-1,0.364858154
K09C4.10,0.367244805
rga-4,0.368021772
unc-26,0.368087199
bus-8,0.368176938
clh-4,0.369643748
C01H6.2,0.370211426
gcy-5,0.373604026
rrf-2,0.373902701
hipr-1,0.374204934
F13D2.1,0.375369403
grd-1,0.37557649
cng-1,0.376086324
cutl-18,0.376343333
bet-2,0.376905002
atl-1,0.37881064
T13G4.3,0.379258123
Y71H2B.5,0.381666089
xpo-1,0.381860937
acdh-11,0.382438031
col-87,0.38571512
fln-2,0.386743128
Y69H2.2,0.389086102
T01H10.8,0.389178873
pxn-1,0.389443253
Y69H2.10,0.393514137
C32E8.11,0.394961695
gcy-3,0.397525066
F52D2.6,0.397825566
cdh-10,0.398046987
epg-5,0.399785062
rgs-7,0.400382832
trr-1,0.401403414
hum-2,0.403708236
F59F5.7,0.403915256
rha-1,0.404526645
eor-2,0.40474181
Y38H6C.14,0.405874405
sdc-2,0.40857685
F40H6.5,0.409342297
plx-2,0.409588161
Y43C5A.2,0.41018482
T22E5.3,0.41018482
T24C12.3,0.412117676
F54D11.2,0.416058003
ZK856.12,0.416072094
Y64G10A.7,0.417556083
rgr-1,0.420596062
unc-10,0.420979975
F47C12.1,0.421501599
vab-10,0.421713486
ubc-17,0.42171943
C44B7.11,0.421753894
vit-6,0.42265916
tag-180,0.424351843
wnk-1,0.424733256
R11G1.1,0.424733256
nrx-1,0.425884718
iffb-1,0.426529
F28E10.1,0.428062497
daf-2,0.428231505
gld-2,0.428231505
tag-97,0.428412979
nmy-1,0.429134672
lin-45,0.42925436300000003
F55F3.4,0.431145265
F28H6.4,0.431436709
T23E7.2,0.431553345
nrde-3,0.431650855
Y67D2.2,0.43204509
gei-15,0.432672252
T04F3.1,0.435584908
Y113G7B.12,0.43582518
tbc-17,0.437033687
F54E2.4,0.437583373
C09G5.8,0.439484067
nurf-1,0.439650664
T08G11.1,0.439749712
cutl-25,0.441482878
unc-54,0.443991196
pyk-2,0.444180183
Y48E1B.14,0.444299529
pll-1,0.444425429
F35F10.10,0.444576029
T28F2.7,0.444576029
Y56A3A.6,0.444576029
lsy-12,0.444808522
igcm-3,0.445197526
F29G6.3,0.445390775
E01A2.2,0.445529095
Y55F3AM.14,0.445912476
ten-1,0.446875192
F42G9.6,0.449462635
npp-10,0.450459414
Y67D8C.9,0.450670542
cogc-1,0.451097562
R193.2,0.452825903
mltn-2,0.453252872
B0546.3,0.45336357
T20B6.2,0.453464983
abt-4,0.454451456
agl-1,0.455061483
C03H12.1,0.455743489
bar-1,0.45718676
eat-18,0.459733681
lev-10,0.459733681
F36G9.13,0.459745051
ppfr-1,0.461083745
lrp-1,0.462444762
lgc-33,0.463810746
K02B12.7,0.464562424
mel-28,0.464991012
C49C3.4,0.465046994
ifp-1,0.466210352
prmt-3,0.466865979
gpa-6,0.46746783
W05G11.4,0.468814572
elpc-1,0.469258975
rcq-5,0.470100464
F55E10.6,0.470100464
F01F1.1,0.471459215
K12C11.1,0.472175455
tag-192,0.472899927
lex-1,0.473429321
F27C1.11,0.473571124
hdl-1,0.474186369
gei-3,0.476228369
sdc-3,0.476313619
tag-52,0.476649479
dic-1,0.477205562
kel-8,0.4772203
B0412.3,0.477979729
set-9,0.478607173
C38D9.5,0.479552631
math-33,0.479978123
Y32B12B.2,0.48111323
gbf-1,0.482029089
T28F3.5,0.482100476
E01G6.1,0.482617559
F59E12.9,0.483288007
C16C10.3,0.484317717
ego-1,0.484741113
ksr-1,0.485134503
C14B1.7,0.486561269
W02C12.1,0.488803587
F26A10.2,0.488927094
hmr-1,0.489447561
lin-12,0.491051678
gcy-19,0.492632509
W07E11.1,0.494415454
gcy-28,0.494499039
Y69A2AR.19,0.494591898
grd-7,0.495008485
F32A5.2,0.496236794
fnci-1,0.496369933
Y59A8A.3,0.498688173
C27F2.1,0.498969534
xrn-1,0.50207145500000006
Y70G10A.2,0.502339093
C42C1.10,0.502428756
ZK370.4,0.503093284
R02F2.2,0.508810239
sbp-1,0.511067104
nhl-2,0.511882849
F21C10.7,0.512816071
F25B5.2,0.512892645
unc-79,0.512982064
sma-9,0.514188148
Y46G5A.29,0.51514841200000006
dig-1,0.515257687
F25E5.1,0.516571896
C01G5.4,0.517226026
Y45G5AM.2,0.517656301
B0365.7,0.518165684
spc-1,0.518273681
cdh-4,0.519386212
F39B2.8,0.520243945
F21G4.6,0.52059836
tam-1,0.523803237
pcp-4,0.526541246
T19D2.1,0.526544853
